ID,date,date_code,ventilator,pestfield,COORD_X,COORD_Y
287,1854,3,1,1,529311.3711,181015.3723
288,1854,3,0,0,529614.2846,180892.5765
289,1854,3,0,0,529571.2645,180923.292
290,1854,3,1,0,529409.5319,180948.513
291,1854,3,1,0,529520.9222,180861.5109
292,1854,3,1,0,529492.3175,180833.9139
293,1854,3,0,0,529565.4776,180903.1562
294,1854,3,1,0,529631.9278,180831.7566
295,1854,3,1,0,529630.9804,180951.4408
296,1854,3,0,0,529100.3769,181069.2844
297,1854,3,0,0,529572.3909,180768.1545
298,1854,3,0,0,529095.0786,181073.9464
299,1854,3,0,0,529194.0901,181217.3736
300,1854,3,0,0,529185.5746,181216.7469
301,1854,3,0,0,529570.6287,180766.6671
302,1854,3,0,0,529561.063,180786.3084
303,1854,3,0,0,529553.6323,180850.8231
304,1854,3,0,0,529530.1813,180802.3155
305,1854,3,0,0,529541.8602,180800.6556
306,1854,3,0,0,529565.8328,180877.2256
307,1854,3,0,0,529457.6813,180814.1707
308,1854,3,0,0,529458.5123,180811.0908
309,1854,3,0,0,529435.4532,180783.9373
310,1854,3,0,0,529482.5725,180835.3345
311,1854,3,0,0,529487.7294,180838.9943
312,1854,3,0,0,529545.0034,180785.7961
313,1854,3,0,0,529602.6775,180839.3244
314,1854,3,0,0,529610.3279,180842.9177
315,1854,3,0,0,529607.7895,180886.2344
316,1854,3,0,0,529620.8322,180828.1712
317,1854,3,0,0,529617.1148,180826.2515
318,1854,3,0,0,529640.5307,180835.4116
319,1854,3,0,0,529156.503,181015.6904
320,1854,3,0,0,529638.5494,180840.976
321,1854,3,0,0,529617.6378,180888.1701
322,1854,3,0,0,529255.1112,180930.3487
323,1854,3,0,1,529300.1417,180971.0764
324,1854,3,0,0,529216.2878,181173.5111
325,1854,3,0,0,529219.4946,181174.1461
